,acronym,Phrases
486,PECVD,Plasma-enhanced CVD (PECVD); plasma enhanced CVD (PECVD); plasma-enhanced CVD (PECVD)
487,PECVD,Plasma-Enhanced Chemical Vapour Deposition (PECVD); plasma-enhanced chemical-vapor deposited (PECVD); plasma-enhanced chemical-vapor deposition (PECVD); Post-Plasma Enhanced Chemical Vapor Deposition (PECVD); plasma enhanced chemical vapor deposition (PECVD); plasma-enhanced chemical vapour deposited (PECVD); plasma enhanced chemical vapour deposition (PECVD); plasma-enhanced chemical-vapor depostion (PECVD); Plasma Enhanced Chemical Vapour Deposition (PECVD); Plasma Enhanced Chemical Vapor Deposition (PECVD); plasma-enhanced chemical vapor deposited (PECVD); plasma-enhanced chemical vapor deposition (PECVD); Plasma-enhanced chemical-vapor deposition (PECVD); Plasma-Enhanced Chemical Vapor Deposition (PECVD); plasma-enhanced chemical-vapor-deposited (PECVD); plasma-enhanced chemical vapor-deposition (PECVD); plasma-enhanced chemical vapour deposition (PECVD); Plasma enhanced chemical vapor deposition (PECVD); plasma enhanced chemical vapor deposited (PECVD)
488,PSF,point-spread-function (PSF); point-spread function (PSF); point spread function (PSF); Point Spread Function (PSF)
489,PSF,plastic scintillator film (PSF)
490,PSF,pseudofunction (PSF)
491,PSF,periodic self-focusing (PSF)
492,PSF,power signal feedback (PSF)
493,PSF,Phase Space Factor (PSF)
494,STT-efficiency,spin-transfer torque efficiency (STT-efficiency)
495,Taiwan,Taiwan Advanced Nanotech (Taiwan)
496,DDL,Dynamic Digital Linearization (DDL)
497,DDL,double-diffusive layer (DDL)
498,ATEF,active trailing edge flap (ATEF)
499,PAA-BSA,PAA with BSA (PAA-BSA)
500,Se,selenium (Se); selenide (Se)
501,Se,static-lattice band offsets of CZTS(Se)
502,Se,slightly weaker electron barrier as compared to CZTS(Se)
503,Se,shortened Sn-S(Se)
504,Se,structure is explained by the lengthened Sn-S(Se)
505,Se,SFs can be more prominent in CZGS(Se)
506,Se,structure of the CZTS(Se); structure of CZTS(Se)
507,Se,state of Sn s and S(Se); state of Cu d and S(Se)
508,Se,seems better than the PBE functional for the investigation of the CZTS(Se)
509,Se,supercell within the interface plane has been fixed to that of CZTS(Se)
510,Se,SFs are more likely formed in CZGS(Se)
511,Se,SCF calculation using HSE06 to correct the bandgap of CZTS(Se)
512,Se,stacking faults are expected to form less in AZTS(Se)
513,OCG,oxygen concentration gradient (OCG)
514,Snr,substantia nigra pars reticulata (Snr)
515,HPDL,high-power diode laser (HPDL)
516,DHFR,dihydrofolate reductase (DHFR)
517,SAQDs,self-assembled quantum dots (SAQDs)
518,DD-MTJ,Dynamic Dual MTJ (DD-MTJ)
519,DD-MTJ,Dynamic Dual MTJ structure (DD-MTJ)
520,FLEs,Foldy-Lax equations (FLEs)
521,AP,ambient-pressure (AP); ambient pressure (AP)
522,AP,Ammonium perchlorate (AP); ammonium perchlorate (AP)
523,AP,anti-phase (AP); anti-phasic (AP)
524,AP,absorbent pad (AP)
525,AP,ablation plasma (AP); ablative plasma (AP)
526,AP,acoustic power (AP); acoustic phonon (AP)
527,AP,ambient or near-ambient pressure (AP)
528,AP,as-prepared (AP); as prepared (AP)
529,AP,arterial pressure (AP); aortic pressure (AP)
530,AP,ambient prior to Ni deposition (AP)
531,AP,Aufbau principle (AP)
532,AP,active particle (AP)
533,AP,as the respective homo dimer values are with 59 cm^{−1} (AP)
534,AP,absorption power (AP)
535,AP,alternating projection (AP); alternative projections (AP)
536,AP,a light-absorbing particle (AP)
537,AP,anti-parallel (AP); antiparallel (AP); Antiparallel (AP)
538,AP,atom probe (AP)
539,AP,atmospheric-pressure (AP)
540,AP,absorbing particle (AP)
541,AP,and spin-down transmission spectra under the P (AP)
542,AP,and Pytte (AP)
543,AP,action potential (AP)
544,AP,antiprism (AP)
545,AP,atomic precise (AP)
546,AP,appearance potential (AP)
547,AP,alternating projection algorithm (AP)
548,AP,amorphous polymers (AP)
549,AP,antiperovskite (AP)
550,AP,absorption probability (AP)
551,AP,asymmetry parameters (AP)
552,AP,another Hopf-bifurcation occurs at λ {H(AP)
553,AP,affinity propagation (AP)
554,CRR,closed ring resonator (CRR)
555,CRR,conceptual recurrence rate (CRR); Conceptual recurrence rate (CRR)
556,CRR,cooperatively rearranging regions (CRR); cooperatively rearranging region (CRR)
557,SSAs,sunspot areas (SSAs)
558,DMTS,differential mixing time scale (DMTS)
559,OVPD,organic vapor-phase deposition (OVPD); organic vapor phase deposition (OVPD)
560,SMAT,single-mode abrupt transition (SMAT)
561,SMAT,surface mechanical attrition treatment (SMAT)
562,RECP,relativistic effective core potentials (RECP); relativistic effective core potential (RECP)
563,GD-OES,Glow Discharge Optical Emission Spectrometry (GD-OES)
564,PNA,performance network analyzer (PNA); programmable network analyzer (PNA)
565,LMEA,local-mean-energy approximation (LMEA); local mean energy approximation (LMEA)
566,QHS,quasi-helical symmetry (QHS); quasi-helically symmetric (QHS)
567,AWGs,arrayed waveguide gratings (AWGs)
568,AWGs,Arbitrary waveform generators (AWGs)
569,OCs,optical coatings (OCs)
570,IWM,infinite well model (IWM)
571,LEBT,Low Energy Beam Transport (LEBT); low-energy beam transport (LEBT)
572,LEBT,low energy beam transport (LEBT); low energy beam line transfer (LEBT)
573,LGF,low-gas-fill (LGF)
574,LGF,large-gap flow (LGF); large gap flow (LGF)
575,LGF,Landesgraduiertenförderung (LGF)
576,LGF,lattice Green's function (LGF)
577,EAMs,embedded atom models (EAMs)
578,VN,Voronoi neighbor (VN)
579,VN,vanadium nitride (VN)
580,AKs,actinic keratoses (AKs)
581,SHAx,single helical axis (SHAx)
582,BNN,Ba {2}NaNb {5}O {15} (BNN)
583,ST-MSL,streak tube multispectral lidar (ST-MSL)
584,STEAM,serial-time encoded amplified microscopy (STEAM)
585,ToF,Time of Flight (ToF); Time-of-flight (ToF); Time-of-Flight (ToF); time-of flight (ToF); time of flight (ToF); time-of-flight (ToF)
586,ACET,alternating current electro-thermal (ACET); alternating current electrothermal (ACET)
587,ACET,AC electrothermal (ACET)
588,WPD,Wave packet dynamics (WPD); wave packet dynamics (WPD)
589,WPD,wavelet packet decomposition (WPD)
590,BTRS,broken time-reversal symmetry (BTRS)
591,HMMs,hierarchical metamaterials (HMMs); hyperbolic metamaterials (HMMs)
592,HMMs,heterogeneous multiscale methods (HMMs)
593,HMMs,Hidden Markov Models (HMMs); hidden Markov models (HMMs); Hidden Markov models (HMMs)
594,HMMs,half-metallic magnets (HMMs)
595,SLIPs,superlattice infrared photodetectors (SLIPs)
596,PBW,proton beam writing (PBW)
597,DOM,discrete ordinate method (DOM); discrete ordinates method (DOM)
598,DOM,Document Object Mode (DOM)
599,O-Zn-core,of the B-Zn-core (O-Zn-core)
600,SUSY,supersymmetric algebra (SUSY)
601,SUSY,supersymmetry (SUSY); Supersymmetry (SUSY); supersymmetric (SUSY)
602,BLdc,brushless dc (BLdc)
603,SA-MOCVD,sputtering-assisted metalorganic chemical vapor deposition (SA-MOCVD)
604,AAL,Automated Anatomical Labelling (AAL)
605,DRIBM,drift-resistive-inertial ballooning modes (DRIBM)
606,COBRA-FTMW,coaxially oriented beam resonator arrangement Fourier-transform microwave (COBRA-FTMW)
607,MP-SRP,multipoint SRP (MP-SRP)
608,SSE-QHD,separate spin evolution quantum hydrodynamic (SSE-QHD); separated spin evolution-quantum hydrodynamic model (SSE-QHD)
609,SSE-QHD,separate spin evolution QHD (SSE-QHD)
610,AP-MSN,AP-MSN have the measured values d {p}(AP-MSN)
611,CECF,continuous-exchange cell-free (CECF)
612,PCDFs,polychlorinated dibenzo-p-furans (PCDFs)
613,OSL,optically stimulated luminescence (OSL)
614,OSL,optical superlattice (OSL)
615,ARF,anisotropic reaction-field (ARF); anisotropic reaction field (ARF)
616,ARF,acoustic radiation force (ARF)
617,IVAP,intimate valence alternation pair (IVAP)
618,EBSD,electron backscattering diffraction (EBSD); electron backscatter diffraction (EBSD); Electron backscattering diffraction (EBSD); Electron back scattered diffraction (EBSD); electron back-scattering diffraction (EBSD); Electron Back Scattered Diffraction (EBSD); electron backscattered diffraction (EBSD)
619,EBSD,ELECTRON BACKSCATTER DIFFRACTION (EBSD)
620,EBSD,Electron Backscatter Diffraction (EBSD); Electron Backcscatter Diffraction Analysis (EBSD); Electron backscatter diffraction (EBSD)
621,CGHs,computer-generated holograms (CGHs)
622,LB2,Li {2}O·2B {2}O {3} (LB2)
623,ID,ignition delay (ID); Ignition Delay (ID)
624,ID,indirect drive (ID)
625,ID,inner detector (ID)
626,ID,intensity distribution (ID)
627,ID,inside diameter (ID); internal diameter (ID); Interior diameter (ID); inner diameter (ID)
628,ID,identity (ID)
629,ID,identification (ID)
630,ID,information depth (ID)
631,ID,iris diaphragm (ID)
632,ID,inner winding diameter (ID)
633,ID,inner tracking detector (ID)
634,ID,ideal freely jointed chains (ID)
635,ID,identification number (ID)
636,ZPVEs,zero-point vibrational effects (ZPVEs); zero-point vibrational energies (ZPVEs)
637,SFCC,superconducting fault current controller (SFCC)
638,SHe,supercritical helium (SHe)
639,PEFCs,Polymer Electrolyte Fuel Cells (PEFCs); polymer electrolyte fuel cells (PEFCs); polyelectrolyte fuel cells (PEFCs)
640,MIGS,metal induced gap states (MIGS); metal-induced gap states (MIGS); metal induced gap state (MIGS)
641,KAS,Kissinger-Akahira-Sunose (KAS)
642,KAS,kinetic parameters such as the Kissinger (KAS)
643,KAS,kinetic studies of hardwood using the Kissinger (KAS)
644,IRI,International Reference Ionosphere (IRI)
645,HTG,high temperature growth (HTG)
646,EMC,effective mass calculator (EMC); Effective Mass Calculator (EMC)
647,EMC,Enhanced Monte Carlo (EMC); Ensemble Monte Carlo (EMC); enhanced Monte Carlo (EMC)
648,EMC,Electro Magnetic Compatibility (EMC); electromagnetic compatibility (EMC)
649,EMC,Electron Microscopy Center (EMC)
650,GPT,General Particle Tracer (GPT)
651,GPT,general permeability tensor model (GPT)
652,GPT,Gaussian process tomography (GPT); Gaussian Process Tomography (GPT)
653,GPT,generalized permeability (GPT); generalized permeability tensor (GPT)
654,BO-PVDF,biaxially oriented PVDF (BO-PVDF)
655,TDOS,total DOS (TDOS)
656,TDOS,total density of states (TDOS); total density of state (TDOS)
657,TDOS,Total density of states calculations (TDOS)
658,PALS,Phase Analysis Light Scattering (PALS)
659,PALS,positron annihilation life-time spectroscopy (PALS); Positron annihilation lifetime spectroscopy (PALS); positronium annihilation lifetime spectroscopy (PALS); positron annihilation lifetime spectroscopy (PALS)
660,PALS,Prague Asterix Laser System (PALS)
661,ODISEE,One-DImensional Sheath Edge Explorer (ODISEE)
662,VC-QD,vertically coupled QD (VC-QD)
663,MG-PCA,Manifold-Generated PCA (MG-PCA)
664,PYRO-OUT,pyrolysis product (PYRO-OUT)
665,SDRs,spinning disk reactors (SDRs)
666,CSRP,completely spatially random pattern (CSRP)
667,PhoCs,Photothermal Correlation Spectroscopy (PhoCs)
668,RTV,room temperature vulcanized (RTV)
669,V0/B,V {0}/B exceeds (V0/B)
670,UTC,Universal Transport Code (UTC)
671,SWR,standing-wave ratio (SWR)
672,Ti-64,to resolve cooling dynamics in diffraction experiments of Ti-6Al-4V (Ti-64)
673,EP-PC,Exponential density predictor/corrector (EP-PC)
674,TSMR,thermally driven spin Hall magneto-resistance (TSMR)
675,MSWs,magnetostatic waves (MSWs); magnetostatic spin waves (MSWs)
676,PTPM,photographs has been carried out on the photothermoplastic medium (PTPM)
677,CCO,CaCuO {2} (CCO)
678,FWA,Fireworks Algorithm (FWA)
679,CT-MP2,canonical transformed MP2 (CT-MP2)
680,BL-11,Beam Line-11 (BL-11)
681,AuNP,antibody immuno-recognition technique to form multi-gold nanoparticle (AuNP)
682,AuNP,a large scattering cross section such as gold nanoparticles (AuNP)
683,PDP,plasma display panel (PDP); plasma display panels (PDP)
684,PDP,pressure difference between the dispersed phase (PDP)
685,PDP,PLASMA DISPLAY PANEL (PDP)
686,PDP,pressure-distance product (PDP)
687,PTL,passive transmission line (PTL)
688,PTL,pathological (PTL)
689,AMP,alginate microparticle (AMP)
690,AMP,amphetamine (AMP)
691,AMP,advanced machining process (AMP)
692,AMP,Adenosine monophosphate (AMP); adenosine monophosphate (AMP)
693,AMP,approximate message passing algorithm (AMP)
694,AMP,amplifier (AMP)
695,AMP,acoustic metamaterial plate (AMP)
696,P-E,Polarization–Electric field (P-E); polarization-electrical field (P-E); polarization–electric-field (P-E); Polarization-electric field (P-E); Polarization–electric-field (P-E); polarization-electric (P-E); Polarization electric-field(P-E); polarization–electric field (P-E); polarization electric-field (P-E)
697,P-E,perform ferroelectric (P-E)
698,P-E,presents the hysteresis (P-E)
699,P-E,polarizations of the sample were determined by the (P-E)
700,P-E,polarization vs electric field (P-E); Polarization versus electric field (P-E); polarization versus electric field (P-E); polarization versus electric-field (P-E); polarization-electric field (P-E)
701,P-E,polarization field (P-E); polarization-field (P-E)
702,P-E,polarization hysteresis (P-E)
703,SOPS,spatially organized partially synchronized states (SOPS); spatially organized partial synchrony (SOPS)
704,PbSe,PbSe and TaSe2 electronic states near the Fermi level in (PbSe)
705,PbSe,proposed schematic electronic band structure of (PbSe)
706,SIRC,self-interaction with relaxation corrections (SIRC)
707,PMFS,PM failsafe system (PMFS)
708,MIMCAPs,metal insulator metal capacitors (MIMCAPs); Metal-Insulator-Metal Capacitors (MIMCAPs)
709,CE-FC,chemical-explosive flux compression (CE-FC)
710,CZTS,copper zinc tin diselenide (CZTS); copper zinc tin sulfide (CZTS)
711,CZTS,CdZnTeSe (CZTS)
712,PSZ,partially stabilized zirconia (PSZ)
713,PSZ,pre-separation zone (PSZ)
714,SFSM,self-frequency sum mixing (SFSM)
715,NLET,nonlocal electron heat transport (NLET)
716,DVC,Digital Volume Correlation (DVC)
717,I-T,injection-trapping (I-T)
718,FinFETs,fin field-effect-transistors (FinFETs); fin field-effect transistors (FinFETs); fin field effect transistors (FinFETs)
719,PBEX,Plasma Bubble Expansion eXperiment (PBEX)
720,HT-GaN,high temperature n-GaN (HT-GaN); high-temperature GaN(HT-GaN)
721,SHiP,Search for Hidden Particles (SHiP)
722,Sat,saturation current I {D(Sat)
723,FP-FODS,Fabry-Perot fibre-optic displacement sensor (FP-FODS)
724,CMP,chemical-mechanical planarization (CMP); Chemical-Mechanical Planarization (CMP); chemical mechanical planarization (CMP); Chemical Mechanical Planarization (CMP)
725,CMP,chemical-mechanical polish (CMP); chem-mechanical polish (CMP); chemically mechanically polished (CMP); chemical mechanical polishing step (CMP); chemical–mechanical polishing (CMP); chemical and mechanical polishing (CMP); chemical-mechanical polishing (CMP); chemical mechanical polishing (CMP); chemical mechanical polish (CMP)
726,CMP,central magnetization peak (CMP)
727,CMP,cavity-magnon-polariton (CMP)
728,NINR,no ignition and no reaction (NINR)
729,RSI,Rotating Shadowband Irradiometer (RSI)
730,RSI,rotor-stator interaction (RSI)
731,ANE,anomalous Nernst effect (ANE)
732,BIHAWT,building integrated horizontal axis wind turbine (BIHAWT)
733,HW,hard-wall (HW); hard wall (HW)
734,HW,Hasegawa-Wakatani (HW)
735,HW,hollow-walled (HW)
736,HW,hotwire (HW); hot-wire (HW)
737,HW,high weight (HW)
738,HW,hydrogen bonding numbers for the NH {3} and THF guests with hydrogen atoms (HW)
739,HW,heavy water (HW)
740,TWTT,Two-Way Time Transfer (TWTT)
741,GLLB,Gritsenko–van Leeuwen–van Lenthe–Baerends (GLLB)
742,LP-OMVPE,low pressure organometallic vapor phase epitaxy (LP-OMVPE)
743,FPs,fission products (FPs)
744,FPs,fluorescent proteins (FPs)
745,FPs,freezing points (FPs)
746,FPs,field plates (FPs)
747,FPs,Frenkel pairs (FPs)
748,ECB,extracellular buffer (ECB)
749,ECB,Extreme Conditions Beamline (ECB)
750,ECB,electrochemical buffing (ECB)
751,IQOQI,Institute for Quantum Optics and Quantum Information (IQOQI)
752,NSOL,near-field scanning optical lithography (NSOL)
753,ANOM,analysis of mean (ANOM)
754,KSG,Kraskov-Stögbauer-Grassberger (KSG)
755,Mt,Mt+=(Mt)
756,TRANS,transitivity (TRANS)
757,PSC,Perovskite solar cells (PSC); Perovskite solar cell (PSC); perovskite solar cells (PSC)
758,PSC,perfect surface crystallization (PSC)
759,PSC,Plasma Simulation Code (PSC); plasma simulation code (PSC)
760,DRIFTS,diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS)
761,DELMA,display-type ellipsoidal mesh analyzer (DELMA)
762,Tl,to a pixellated 4 × 4 × 20 mm^{3} thick CsI(Tl); to a pixelated 4 × 4 × 20 mm^{3} thick CsI(Tl)
763,Tl,the counter-propagating laser were measured using a CsI(Tl)
764,Tl,thermally stimulated luminescence from sample #13330 and crystals of Na(Tl); Thermally stimulated luminescence of GaAs sample #13330 and crystals of NaI(Tl)
765,Tl,the much lower cost of CsI(Tl)
766,Tl,typically depend on scintillation materials such as NaI(Tl)
767,Tl,the value of for other well-matched scintillators such as NaI(Tl)
768,Tl,the energy resolutions of CsI(Tl)
769,Tl,the sample was also monitored by a NaI(Tl)
770,Tl,the SiPM directly coupled to the 144 4 × 4 × 20 mm CsI(Tl)
771,Tl,thallium-doped sodium iodide (NaI(Tl)
772,Tl,taken using a single NaI (Tl)
773,Tl,thallium (Tl)
774,TCPBs,two circularly polarized beams (TCPBs)
775,AEH,acoustic energy harvesting (AEH); acoustic energy harvester (AEH)
776,STM/STS,scanning tunneling microscopy/scanning tunneling spectroscopy (STM/STS)
777,STM/STS,scanning tunneling microscopy/spectroscopy (STM/STS)
778,MNA,modified nodal analysis (MNA); Modified Nodal Analysis (MNA)
779,PPPs,positive potential pulses (PPPs)
780,CC-SOSEX,coupled-cluster second-order screened exchange (CC-SOSEX)
781,UCC,unitary coupled-cluster (UCC); Unitary Coupled Clusters (UCC); unitary coupled cluster (UCC)
782,QHD,quantized Hamiltonian dynamics (QHD)
783,QHD,quantum hydrodynamical model (QHD); quantum hydrodynamics model (QHD); quantum hydrodynamical (QHD); quantum hydrodynamic model (QHD)
784,QHD,quantum magnetohydrodynamic (QHD); Quantum Hydrodynamic (QHD); quantum hydrodynamic (QHD); quantum hydrodynamics (QHD)
785,JICF,jet in supersonic crossflow (JICF)
786,JICF,jet-in-crossflow (JICF)
787,VUV,various UV and vacuum ultraviolet (VUV)
788,VUV,vacuum-UV (VUV); vacuum UV (VUV)
789,VUV,vacuum-ultraviolet (VUV); visible-ultraviolet (VUV)
790,VUV,vacuum-ultra-violet (VUV); Vacuum Ultra-Violet (VUV); Vacuum ultraviolet (VUV); Vacuum Ultra Violet (VUV); Vacuum Ultraviolet (VUV); vacuum ultraviolet (VUV); Vacuum UtraViolet (VUV)
